Expense_ID,Expense_Date,Category,Description,Amount,Payment_Method,Currency
1000028,2023-01-28,Entertainment,Music subscription,10.0,Bank Transfer,USD
1000029,2023-01-29,Rent,Apartment rent,1250.0,Bank Transfer,USD
1000030,2023-01-30,Dining,Coffee with colleagues,15.2,Cash,IND
1000031,2023-02-01,Groceries,Bought snacks,25.6,Credit Card,USD
1000032,2023-02-02,Healthcare,Medicine purchase,30.5,Cash,EURO
1000033,2023-02-03,Utilities,Electricity bill,80.0,Bank Transfer,IND
1000034,2023-02-04,Shopping,Bought a watch,200.0,Credit Card,USD
1000035,2023-02-05,Transport,Flight ticket,300.0,Debit Card,EURO
1000036,2023-02-06,Entertainment,Movie night,25.0,Cash,USD
1000037,2023-02-07,Rent,Monthly rent,1300.0,Bank Transfer,USD
1000038,2023-02-08,Groceries,Bought fruits and vegetables,55.75,Debit Card,IND
1000039,2023-02-09,Dining,Family dinner,90.25,Credit Card,USD
1000040,2023-02-10,Utilities,Water bill,40.0,Bank Transfer,EURO
1000041,2023-02-11,Shopping,Bought new bag,150.5,Credit Card,IND
1000042,2023-02-12,Entertainment,Video game purchase,70.0,Debit Card,USD
1000043,2023-02-13,Healthcare,Eye doctor visit,200.0,Cash,EURO
1000044,2023-02-14,Transport,Train ticket,15.0,Debit Card,USD
1000045,2023-02-15,Rent,Monthly rent,1400.0,Bank Transfer,USD
1000046,2023-02-16,Dining,Brunch with friends,50.0,Cash,IND
1000047,2023-02-17,Groceries,Weekly grocery shopping,65.0,Credit Card,EURO
1000048,2023-02-18,Utilities,Gas bill,30.0,Bank Transfer,USD
1000049,2023-02-19,Shopping,Bought a smartphone,800.0,Credit Card,IND
1000050,2023-02-20,Healthcare,Pharmacy purchase,35.5,Cash,EURO
1000051,2023-02-21,Entertainment,Music festival,120.0,Debit Card,USD
1000052,2023-02-22,Dining,Lunch with colleagues,45.0,Cash,IND
1000053,2023-02-23,Groceries,Bought household items,55.25,Credit Card,USD
1000054,2023-02-24,Rent,Monthly apartment rent,1500.0,Bank Transfer,EURO
1000055,2023-02-25,Utilities,Electricity bill,70.0,Debit Card,USD
1000056,2023-02-26,Healthcare,Hospital check-up,220.0,Credit Card,EURO
1000057,2023-02-27,Shopping,Bought sunglasses,90.0,Cash,IND
1000058,2023-02-28,Dining,Dinner at a restaurant,55.0,Credit Card,USD
1000059,2023-03-01,Transport,Bus fare,10.0,Cash,IND
1000060,2023-03-02,Groceries,Weekly grocery shopping,60.5,Credit Card,USD
1000061,2023-03-03,Entertainment,Theater tickets,85.0,Debit Card,EURO
1000062,2023-03-04,Utilities,Gas bill,35.0,Bank Transfer,IND
1000063,2023-03-05,Shopping,Bought a backpack,95.0,Credit Card,USD
1000064,2023-03-06,Healthcare,Dentist appointment,180.0,Cash,EURO
1000065,2023-03-07,Dining,Breakfast at cafe,25.0,Debit Card,USD
1000066,2023-03-08,Transport,Flight ticket,350.0,Credit Card,IND
1000067,2023-03-09,Entertainment,Concert tickets,200.0,Debit Card,USD
1000068,2023-03-10,Groceries,Bought snacks,40.0,Cash,EURO
1000069,2023-03-11,Rent,Monthly rent,1350.0,Bank Transfer,USD
1000070,2023-03-12,Dining,Lunch with family,75.0,Credit Card,USD
1000071,2023-03-13,Utilities,Internet bill,45.0,Bank Transfer,IND
1000072,2023-03-14,Shopping,Bought shoes,120.0,Credit Card,USD
1000073,2023-03-15,Healthcare,Pharmacy purchase,50.0,Debit Card,EURO
1000074,2023-03-16,Transport,Taxi to office,20.0,Cash,IND
1000075,2023-03-17,Groceries,Bought vegetables,45.0,Credit Card,USD
1000076,2023-03-18,Entertainment,Movie tickets,35.0,Debit Card,EURO
1000077,2023-03-19,Dining,Dinner at restaurant,65.0,Cash,IND
1000078,2023-03-20,Rent,Monthly rent,1450.0,Bank Transfer,USD
1000079,2023-03-21,Utilities,Gas bill,30.0,Debit Card,EURO
1000080,2023-03-22,Healthcare,Doctor visit,190.0,Cash,USD
1000081,2023-03-23,Groceries,Bought groceries,60.0,Credit Card,IND
1000082,2023-03-24,Entertainment,Concert tickets,110.0,Debit Card,USD
1000083,2023-03-25,Transport,Bus fare,12.0,Cash,EURO
1000084,2023-03-26,Dining,Lunch at restaurant,50.0,Credit Card,IND
1000085,2023-03-27,Utilities,Electricity bill,75.0,Bank Transfer,USD
1000086,2023-03-28,Shopping,Bought a new phone,850.0,Credit Card,USD
1000087,2023-03-29,Healthcare,Medicine purchase,45.0,Cash,EURO
1000088,2023-03-30,Transport,Train ticket,18.0,Debit Card,IND
1000089,2023-03-31,Rent,Monthly rent,1550.0,Bank Transfer,USD
1000090,2023-04-01,Dining,Dinner with friends,80.0,Credit Card,USD
1000091,2023-04-02,Groceries,Bought snacks,35.0,Debit Card,EURO
1000092,2023-04-03,Healthcare,Doctor consultation,130.0,Cash,USD
1000093,2023-04-04,Entertainment,Movie tickets,40.0,Debit Card,IND
1000094,2023-04-05,Transport,Flight ticket,400.0,Credit Card,EURO
1000095,2023-04-06,Utilities,Water bill,50.0,Bank Transfer,USD
1000096,2023-04-07,Shopping,Bought a watch,200.0,Credit Card,USD
1000097,2023-04-08,Dining,Lunch with family,65.0,Cash,IND
1000098,2023-04-09,Groceries,Weekly groceries,70.0,Debit Card,EURO
1000099,2023-04-09,Rent,Apartment rent,1250.0,Bank Transfer,USD
1000100,2023-04-10,Healthcare,Eye doctor visit,120.0,Debit Card,USD
